id;value;generic_emails;personal_emails;last_crawl;language;company_name;twitter;facebook;instagram;linkedin;youtube;phone_number;apple_app;google_play;country;state;categories;description;street;city;postcode;employees_count
271118;ally.com;31;110;2023-07-26;en;Ally;;allyracing;allyracing;ally;;+1 877 247 2559;itunes.apple.com/app/id514374715;play.google.com/store/apps/details?id=com.ally.mobilebanking;US;PA;{finance};Whether it's banking, investing, home loans or auto finance, nothing stops us from doing right by you. Ally. Do It Right.;;Horsham;19044;13073
71316490;alticeusa.com;26;84;2023-05-02;en;Altice USA;alticeusa;alticeusa;alticeusa;altice-usa;;+1 866 950 3278;;;US;TX;{internet_telecom};;;Lufkin;75901;9162
134134;altria.com;13;70;2023-05-02;en;Altria;;;;altria;;+1 800 872 3777;;;US;;{industry};;;;;4335
410827;amark.com;5;4;2023-07-18;en;A-Mark Precious Metals;;;;a-mark-precious-metals;;+1 877 277 3090;;;US;CA;{finance};;2121 Rosecrans Avenue;El Segundo;90245;99
3527;amazon.com;1767;3867;2023-05-29;en;Amazon.com;Amazon;;amazon;amazon-web-services;;+1 888 283 1678;;;;;{technology};Free shipping on millions of items. Get the best of Shopping and Entertainment with Prime. Enjoy low prices and great deals on the largest selection of everyday essentials and other products, including fashion, home, beauty, electronics, Alexa Devices, sporting goods, toys, automotive, pets, baby, books, video games, musical instruments, office supplies, and more.;;;;130809
8929;amd.com;162;1292;2023-06-27;en;AMD;amdryzen;amdgaming;;amd;;+1 630 421 2804;;;;;{manufacturing};;;;;25018
62874;ameren.com;46;217;2023-06-27;en;Ameren;;amerencorp;;ameren;;+1 800 552 7583;;;US;IL;{industry};;;;;6375
973484;americanexpress.com;0;3;2023-07-17;en;American Express;;;;american-express;;+1 500 061 8208;;;US;CA;{finance};American Express offers world-class Charge and Credit Cards, Gift Cards, Rewards, Travel, Personal Savings, Business Services, Insurance and more.;1920 Main Street;Irvine;92614;78123
11307;americantower.com;86;109;2023-07-18;en;American Tower;;;;american-tower;;+1 617 375 7575;;;US;MA;{internet_telecom};;116 Huntington Ave;Boston;2116;4935
2782001;ameriprise.com;0;0;2023-06-04;en;Ameriprise Financial;ameriprise;;;ameriprise-financial-services-inc;;+1 800 862 7919;itunes.apple.com/app/ameriprise-financial/id437992173;play.google.com/store/apps/details?id=com.ameriprise.ameriprisefinancial;US;MN;{finance};Get financial planning advice and retirement investment advice from Ameriprise financial advisors at ameriprise.com.;70010 Ameriprise Financial Center;Minneapolis;55474;17193
783820;amerisourcebergen.com;33;98;2023-06-27;en;AmerisourceBergen;;;;amerisourcebergen;;+1 800 829 3132;;;US;PA;{health};AmerisourceBergen fosters a positive impact on healthcare around the world by advancing the development and delivery of pharmaceuticals and healthcare products.;;;;19637
66554;amfam.com;78;1489;2023-06-27;en;American Family Insurance;amfamcareers;amfam;amfam;american-family-insurance;;+1 800 692 6326;;play.google.com/store/apps/details?id=com.amfam.myamfam;;;{finance};;;;;17267
53826;amgen.com;133;789;2023-06-14;en;Amgen;;;amgenbiotech;amgen;;+1 800 332 1088;;;US;CA;{science};Amgen is committed to unlocking the potential of biology for patients suffering from serious illnesses by discovering, developing, manufacturing and delivering innovative human therapeutics.;;Thousand Oaks;91320;30104
6407559;amphenol.com;3;3;2023-06-25;en;Amphenol;amphenol;;amphenolltd;amphenol;;+1 203 265 8516;;;US;;{manufacturing};;;;;3639
5000;analog.com;131;1218;2023-06-28;en;Analog Devices;analogdevicesjp;analogdialogue;analogdevices;analog-devices;;+1 781 329 4700;;;US;MA;{manufacturing};;;;;21769
513092;andersonsinc.com;17;157;2023-06-27;en;The Andersons;andersonsinc;theandersonsinc;;theandersonsinc;;+1 866 864 4872;;;US;OH;{manufacturing};The Andersons is an essential agribusiness with diverse interests in the commodity merchandising, renewables, and nutrient & industrial sectors. Through our deep relationships with growers and streamlined management of complex storage and logistics systems, we are providing food, feed, and fuel to North America and beyond. From renewables to industrial and specialty products, to premium ingredients and turf, The Andersons offers an array of high-quality products and services with exceptional customer service.;1947 Briarfield Blvd;Maumee;43537;1667
498474709;apacorp.com;1;0;2023-05-28;en;APA Corporation;apa_corp;;apachecorporation;apache-corporation;;+1 800 272 2434;;;US;TX;{industry};APA Corporation contributes to global progress by helping meet the world's energy needs. Apache Corporation is a subsidiary of APA Corporation.;2000 Post Oak Blvd;Houston;77056;2701
1392683;apollo.com;9;43;2023-05-02;;Apollo Communications;;;;apollo-global-management-inc;;;;;;;{finance};;;;;3424
1997;apple.com;790;2477;2023-06-05;en;Apple;apple;apple;apple;apple;;+1 877 255 5923;;play.google.com/store/apps/details?id=com.apple.android.music;US;CA;{technology};Discover the innovative world of Apple and shop everything iPhone, iPad, Apple Watch, Mac, and Apple TV, plus explore accessories, entertainment, and expert device support.;;Cupertino;95014;282056
2076354;appliedmaterials.com;0;0;2023-07-17;en;Applied Materials;applied_blog;appliedmaterialsinc;applied__materials;applied-materials;appliedschannel;+1 877 612 7547;;;US;CA;{manufacturing};;;;;25349
36750;aramark.com;101;2375;2023-06-27;en;Aramark;aramark;108418935969656;aramark;aramark;aramarktv;+1 215 238 4078;;;;;{travel};Aramark provides food service, facilities and uniform services to hospitals, universities, school districts, stadiums and other businesses around the world.;;;;42207
27361477;arconic.com;43;148;2023-04-28;en;Arconic;;;;arconic;;+1 412 315 2984;;;US;PA;{manufacturing};;201 Isabella Street;Pittsburgh;15212;4428
497552670;arkocorp.com;0;0;2023-06-07;en;ARKO Corp;;;;arko-corp-us;;+1 978 518 4531;;;US;VA;{shopping};ARKO Corp. (Nasdaq: ARKO) is a Fortune 500 company that owns 100% of GPM Investments, LLC and is one of the largest operators of convenience stores and wholesalers of fuel in the United States. Based in Richmond, VA, our highly recognizable Family…;8565 Magellan Parkway;Virginia;23227;
124473;arrow.com;146;322;2023-05-02;en;Arrow Electronics;;;;arrow-electronics;;+1 855 326 4757;;;;;{technology};;;;;18863
2758453;asburyauto.com;5;32;2023-07-07;en;Asbury Automotive Group;;;;asbury-automotive-group;;+1 770 418 8200;;;US;GA;{automotive};Browse vehicles, make a selection, purchase and finance your next vehicle, and schedule your next service. All completely online.;;;30097;3783
98923;assurant.com;115;220;2023-07-18;en;Assurant;;;;assurant;;+1 800 852 2244;;;US;NY;{finance};We help our global clients protect and support the major purchases consumers make — like homes, cars, appliances, and phones — in new and thoughtful ways.;;New York;10006;14025
8550;att.com;224;1781;2023-06-27;en;AT&T;attcares;;;att;;+1 800 331 0500;itunes.apple.com/app/id309172177;;US;TX;{internet_telecom};Shop deals on unlimited data plans, Internet service, and DIRECTV STREAM. Get 24/7 support, pay your bills & manage your account online.;;;;225352
13468100;auto-owners.com;0;0;2023-06-21;en;Auto;autoownersins;autoownersinsurance;auto_owners;auto-owners-insurance;;+1 800 346 0346;;;US;MI;{finance};;;;;4278
299048;autoliv.com;19;177;2023-06-19;;Autoliv AB;;;;autoliv-turkey;;+1 248 420 9794;;;;;{automotive};;;;;126
5647;autonation.com;24;695;2023-06-27;en;AutoNation;;autonation;autonation;autonation;;+1 877 253 4239;;;US;;{automotive};;;;;7089
121729;autozone.com;43;103;2023-06-22;;AutoZone;;;;autozone;;+1 800 230 9786;;;US;CA;{automotive};;;;;30276
441717604;avantorsciences.com;63;165;2023-06-27;en;Avantor;;;;avantorinc;;+1 610 573 2600;;;;;{science};Avantor® is a trusted partner to customers and suppliers in the life sciences, advanced technologies and applied materials industries. We provide mission-critical solutions and relentlessly advance life-changing science.;;;;10730
104880;averydennison.com;65;162;2023-06-27;en;Avery Dennison;;averydennisongrsanz;averydennisonlatinoamerica;avery-dennison;;+1 440 534 6000;;;US;OH;{manufacturing};Avery Dennison is a global materials science company specializing in the design and manufacture of a wide variety of labeling and functional materials.;8080 Norton Parkway;Ohio;44060;19276
12631384;avisbudgetgroup.com;0;0;2023-05-19;en;Avis Budget Group;;;;avis-budget-group;;+1 877 407 2991;;;US;OK;{travel};;;Tulsa;74169;14186
5588;avnet.com;119;330;2023-06-27;en;Avnet;;;;avnet;;+1 800 882 8638;;;;;{technology};;;;;11428
58395;bakerhughes.com;115;537;2023-06-28;en;Baker Hughes;bakerhughesjobs;bakerhughesco;bakerhughesco;bakerhughes;;+1 800 288 8475;;play.google.com/store/apps/details?id=com.bakerhughes.visitrak;US;TX;{industry};Baker Hughes | We take energy forward - making it safer, cleaner, and more efficient for people and the planet.;;;;61410
69346;ball.com;59;278;2023-06-27;en;Ball;ballaluminumcup;ballcorphq;ballcorporation;ball;;+44 15 8240 8999;;;US;CO;{manufacturing};Ball Corporation is the world’s leading provider of innovative, sustainable aluminum packaging for beverage, personal care and household products, as well as aerospace and other technologies and services.;10 Longs Peak Drive;Broomfield;80021;7899
18936;bankofamerica.com;45;129;2023-07-25;en;Bank of America;;;;bank-of-america;;+1 800 432 1000;itunes.apple.com/app/bank-of-america-mobile-banking/id284847138;;US;FL;{finance};What would you like the power to do? For you and your family, your business and your community. At Bank of America, our purpose is to help make financial lives better through the power of every connection.;;Tampa;33622;205260
148293;baxter.com;210;624;2023-06-28;en;Baxter International;;;;baxter-healthcare;;+1 800 284 4060;;;;;{manufacturing};;;;;36842
503455050;bbwinc.com;0;0;2023-06-30;;L Brands;;;;limited-brands;;;;;;;{shopping};;;;;10703
1030645;bc.com;27;106;2023-07-18;en;Boise Cascade;boise_cascade;boisecascadecompany;boisecascade;boise-cascade;;+1 800 237 3459;;;US;ID;{};"We make and deliver building materials for the residential and commercial construction industry. As a dedicated service partner, great products are only the beginning; our business is built on relationships.";1111 West Jefferson Street;Boise;83728;
36054;bd.com;184;511;2023-06-27;es;BD;;;;bd1;;+1 201 847 6800;;;DE;;{manufacturing};;;;;42970
917615;becn.com;10;79;2023-06-25;en;Beacon;beaconbuilds;beaconbuildingproducts;beaconbuildingproducts;beacon-building-products;;+1 703 390 0450;;;US;VA;{home_garden};Beacon Building Products (NASDAQ: BECN), is one of the largest distributors of commercial and residential roofing products, complementary construction, and building materials serving the entire United States and six Canadian provinces.;;;;3159
2011528;bedbathandbeyond.com;5;7;2023-06-28;en;Bed Bath & Beyond;;;bedbathandbeyond;bed-bath-and-beyond;;+1 866 532 6826;;;US;NJ;{shopping};Shop online or in-store at Bed Bath & Beyond for the best bedding, bathroom, kitchen, and home décor! Plus, create or find a wedding registry.;650 Liberty Avenue;Union;7083;17695
1877889;berkley.com;52;552;2023-05-31;en;W. R. Berkley;wrberkleycorp;;;wrberkleycorporation;;+1 203 629 3000;;;;;{finance};;;;;2239
1048248;berkshirehathaway.com;5;11;2023-06-19;en;Berkshire Hathaway;;;;warren-edward-buffett;;+1 888 395 6349;;;US;;{real_estate};;;;;
331798120;berryglobal.com;33;174;2023-07-19;en;Berry Global;berryglobalinc;;;berryglobal;;+1 877 662 3779;;;US;IN;{manufacturing};;101 Oakley Street;Evansville;47710;11114
24566;bestbuy.com;83;251;2023-05-02;fr;Best Buy;;bestbuy;bestbuy;best-buy;;;;;;;{shopping};Shop online at Best Buy in your country and language of choice. Best Buy provides online shopping in a number of countries and languages.;;;;71964
597461;biogen.com;78;235;2023-06-28;en;Biogen;;;;biogen-;;+1 781 464 2442;;;US;MA;{science};Biogen is a leading global biotechnology company that pioneers science and drives innovations for complex and devastating diseases. Biogen is advancing a pipeline of potential therapies across neurology, neuropsychiatry, specialized immunology and rare disease and remains acutely focused on its purpose of serving humanity through science while advancing a healthier, more sustainable and equitable world.;225 Binney Street;Cambridge;2142;9339
751190;bjs.com;23;70;2023-07-25;en;BJs;;;;bj%27s-wholesale-club;;+1 866 324 2625;itunes.apple.com/app/bjs-wholesale-club/id1287596508;;US;;{shopping};;;;;11371
33062;blackrock.com;87;266;2023-04-28;nl;BlackRock;blackrockit;;blackrock;blackrock;;+44 20 7743 3000;;;;;{finance};BlackRock is one of the world’s preeminent asset management firms and a premier provider of investment management, risk management and advisory services around the world.;;;;25862
147717;blackstone.com;28;126;2023-06-27;en;Blackstone;;;;blackstonegroup;;+1 212 583 5000;;;UK;;{finance};Blackstone is the world’s largest alternative asset manager, serving institutional and individual investors by building strong businesses positioned to deliver lasting value.;40 Berkeley Square;London;W1J5AL;6526
2045036;bldr.com;143;245;2023-07-08;en;Builders FirstSource;bldrfirstsource;buildersfirstsource;buildersfirstsource;builders-firstsource;;+1 844 487 8625;;;US;TX;{home_garden};Welcome to Builders FirstSource, the nation’s largest supplier of building products, components and services. Find a store near you or request a quote online!;6031 Connection Dr;Irving;75039;8718
505283634;block.xyz;4;3;2023-06-10;en;Block;blocks;;block.xyz;joinblock;;+1 302 739 4235;;;US;CA;{finance};;;Oakland;94612;15343
5834;bms.com;204;1091;2023-07-26;en;Bristol Myers Squibb;bmsiberia;;bristolmyerssquibb;bristol-myers-squibb;;+1 800 736 0003;;;US;NJ;{manufacturing};Bristol Myers Squibb is a global biopharmaceutical company committed to discovering, developing and delivering innovative medicines to patients with serious diseases.;3401 Princeton Pike;Lawrenceville;8648;35831
3119;bnymellon.com;106;432;2023-05-22;en;BNY Mellon;bnymelloncareer;bnymelloncareer;bnymellon;bny-mellon-eagle-investment-systems;bnymelloncareers;+1 949 683 1503;;;UK;;{finance};;160 Queen Victoria Street;London;EC4V4LA;708
5888;boeing.com;204;2581;2023-06-27;en;Boeing;boeingspace;;;boeing;;+1 866 473 2016;;;US;CA;{manufacturing};;5800 Woolsey Canyon;Canyon;91304;109090
392221606;bookingholdings.com;6;12;2023-07-25;en;Booking Holdings;;;;bookingholdings;;+1 203 299 8431;;;US;CT;{technology};;;;;15717
2102541;boozallen.com;0;0;2023-06-28;en;Booz Allen;;boozallen;boozallen;booz-allen-hamilton;;+1 703 377 7785;;;US;DC;{technology};As a consulting firm with expertise in analytics, digital, engineering, and cyber, we help businesses, government, and military organizations transform.;;;;37140
121641;borgwarner.com;50;151;2023-05-01;en;BorgWarner;;;;borgwarner;;+1 248 754 0656;;;US;;{automotive};We deliver innovative and sustainable mobility solutions for the vehicle market aiming to support a clean, energy-efficient world.;;;;17871
1735997;bostonscientific.com;1;1;2023-07-18;pt;Boston Scientific;;;;boston-scientific;;;;;;;{manufacturing};;;;;41907
172302529;brighthousefinancial.com;5;23;2023-05-05;;BrighthouseFinancial;;;;brighthouse-financial;;;;;;;{finance};;;;;1395
35480;broadcom.com;101;674;2023-04-28;;Broadcom;;;;symantec;;;;;;;{technology};Broadcom Inc. is a global technology leader that designs, develops and supplies semiconductor and infrastructure software solutions.;;;;13870
1050381;burlingtoninvestors.com;1;0;2023-05-18;en;Burlington Stores;;;;burlington-stores-corporationc.f.i.c.-corp;;+1 855 973 8445;;;;;{real_estate};;;;;3
29232;caesars.com;64;303;2023-05-02;;Caesars Entertainment;;;;caesars-entertainment-inc;;+1 800 522 4700;;;;;{travel};;;;;14823
1730529;campbellsoupcompany.com;0;0;2023-06-27;en;Campbell Soup Company;campbellsoupco;;;campbell-soup-company;;+1 800 257 8443;;;US;NJ;{food_drink};Connecting people through food they love. Over 150 years of making delicious, well-crafted soups, simple meals, snacks, and beverages for all.;;Camden;8103;9710
574024;campingworld.com;14;63;2023-05-09;en;Camping World;;campingworld;campingworld;campingworld;;+1 888 626 7576;;;US;CO;{shopping};Shop Camping World for all of your RV and camping needs!;;Englewood;80155;5693
24677;capitalone.com;79;595;2023-07-18;en;Capital One;capitalonecb;capitalone;capitalone;capital-one;;+1 888 464 3220;itunes.apple.com/app/id407558537;play.google.com/store/apps/details?id=com.konylabs.capitalone;US;UT;{finance};"Capital One can help you find the right credit cards; checking or savings accounts; auto loans; and other banking services for you or your business";;Salt Lake City;30273;55668
477109;cardinalhealth.com;56;177;2023-06-27;en;Cardinal Health;;cardinalhealthwings;;cardinal-health;;+1 614 757 5000;;;US;;{health};;;;;32088
74265;carlyle.com;25;92;2023-07-18;en;The Carlyle Group;;;;the-carlyle-group;onecarlyle;+1 202 729 5626;;;US;DC;{finance};With $376 billion of assets under management, Carlyle’s purpose is to invest wisely and create value on behalf of our investors, portfolio companies, and communities.;1001 Pennsylvania Avenue;Washington;20004;2451
48540;carmax.com;24;67;2023-06-27;;CarMax;;;;carmax;;;;;;;{shopping};;;;;14924
124169;carrier.com;273;519;2023-06-28;en;Carrier;;;carrier;carrier;;+1 800 227 7437;itunes.apple.com/app/carrier-cor-thermostat/id941486794;play.google.com/store/apps/details?id=ca.carrier.comfort;US;NY;{home_garden};Learn about Carrier global innovation leadership in building health, healthy solutions for homes, and connected cold chain solutions;6540 Old Collamer Road;Syracuse;13057;16861
1609912;carvana.com;14;12;2023-06-14;;Carvana;;;;carvana;;;;;;;{technology};;;;;6534
1789064;caseys.com;11;33;2023-07-18;de;Casey's General Store;caseysgenstore;caseysgenstore;caseysgenstore;caseys;caseysgenstore;+1 515 965 6100;itunes.apple.com/app/caseys-general-stores/id1061208418;play.google.com/store/apps/details?id=com.caseys.finder;DE;;{food_drink};;;;;11894
3292041;caterpillar.com;0;0;2023-07-04;;Caterpillar;;;;caterpillar-inc;;;;;;;{manufacturing};;;;;48472
353505;cbrands.com;14;113;2023-06-25;en;Constellation Brands;cbrandscareers;;cbrandsnz;constellation-brands;constellationus;+1 585 678 7170;;;US;NY;{food_drink};Constellation Brands produces some of the world’s most iconic beer, wine and spirits brands. See how we elevate life with every glass raised.;;;;5408
5007;cbre.com;342;8890;2023-07-23;en;CBRE Group;cbre_aip;;cbre;cbre;;+1 630 573 7026;;;US;CA;{real_estate};CBRE is the global leader in commercial real estate services and investments.;;;;68574
71424;cdw.com;56;277;2023-04-28;en;CDW;;;;cdw;;+1 800 800 4239;;;US;IL;{technology};The information technology products, expertise and service you need to make your business successful.Fast shipping, fast answers, the industry's largest in-stock inventories, custom configurations and more.;220 North Milwaukee Ave;Vernon Hills;60061;14175
12429;celanese.com;24;107;2023-06-27;en;Celanese;;;;celanese;celanesecorporation;+1 972 443 4745;;;US;;{manufacturing};;;;;6934
247412;centene.com;109;303;2023-06-14;en;Centene;centene;centenecorporation;;centene-corporation;centenecorp;+1 800 345 1642;;;US;MO;{health};As a Managed Care Organization, We Provide Access to High-Quality Healthcare Solutions that Help Families & Individuals. Learn More About Centene.;7700 Forsyth Boulevard;St. Louis;63105;28939
94591;centerpointenergy.com;26;209;2023-07-18;en;CenterPoint Energy;;centerpointenergy;;centerpoint-energy;centerpointenergyvid;;;;;;{industry};;;;;5867
91052;cfindustries.com;4;46;2023-05-02;en;CF Industries Holdings,;cfindustries;cfindustries;;cf-industries;;+1 847 405 2400;;;US;IL;{manufacturing};CF Industries is a leading global manufacturer of hydrogen and nitrogen products;4 Parkway;Deerfield;60015;2174
34186;charter.com;84;1103;2023-06-27;en;Charter Spectrum;;;;;chartercom;+1 855 839 4691;;;US;CT;{internet_telecom};;;;;
2092393;cheniere.com;11;35;2023-06-19;en;Cheniere Energy;;;;cheniere-energy-inc;;+1 877 375 5002;;;US;TX;{industry};Cheniere Energy, Inc. is an international energy company headquartered in Houston, Texas, and is the leading producer of liquefied natural gas in the…;700 Milam Street;Houston;77002;1532
33754;chevron.com;170;1062;2023-06-27;en;Chevron;iordonezchevron;;;chevron;;+1 925 842 5690;itunes.apple.com/app/chevron-way/id1191101143;play.google.com/store/apps/details?id=com.chevron.way.droid;US;CA;{industry};"Chevron works to meet the world's growing demand for energy by exploring for oil and natural gas; refining and marketing gasoline; producing chemicals and more.";6001 Bollinger Canyon;San Ramon;94583;42779
11542;chewy.com;20;15;2023-06-28;en;Chewy;chewy;chewy;chewy;chewy-com;;+1 800 672 4399;;;;;{shopping};Shop Chewy for the best pet supplies ranging from pet food, toys and treats to litter, aquariums, and pet supplements plus so much more! If you have a pet-or soon will-you've come to the right place. Shop for all of your pet needs at Chewy's online pet store. FREE shipping on orders $49+, low prices and the BEST customer service!;;;;10595
872208;chipotle.com;20;29;2023-06-22;en;Chipotle Mexican Grill;;chipotle;chipotlemexicangrill;chipotle-mexican-grill;;+1 303 595 4000;;;CA;NS;{food_drink};;;Halifax;B3J2X2;29150
56343;chrobinson.com;48;245;2023-06-21;en;C.H. Robinson;;;;c-h-robinson;;+1 800 326 9977;;play.google.com/store/apps/details?id=com.chrobinson.navispherecarrier;US;MN;{travel};Reliably meet all your global logistics and technology needs with C.H. Robinson. Supply chain management is optimized with our experience, data, and scale.;14701 Charlson Road;Eden Prairie;55347;18907
31729;chs.net;49;306;2023-06-27;en;Community Health Systems;;;;community-health-systems;;+1 615 465 7000;;;US;TN;{health};;4000 Meridian Blvd;Franklin;37067;8117
375518;chsinc.com;50;1384;2023-07-08;en;CHS;;chs-inc-1704140756493533;chs_inc;chs-america-do-sul;;+1 651 355 6000;;;US;MN;{animal};CHS is one of the nation’s leading cooperatives, owned by farmers, ranchers and co-ops across the U.S. Learn how we're creating connections to empower agriculture.;500 Cenex Drive;Inver Grove Heights;55077;297
69665;cigna.com;226;664;2023-06-27;en;Cigna;;;lifeatcigna;cignahealthcare;;+1 800 244 6224;;;US;;{health};Cigna Healthcare offers health insurance plans such as medical and dental to individuals and employers, international health insurance, and Medicare coverage.;;;;29170
17385;cinfin.com;24;96;2023-05-02;en;Cincinnati Insurance;;cincinnatiinsurance;;the-cincinnati-insurance-companies;;+1 877 242 2544;itunes.apple.com/app/mycincinnati/id521276046;play.google.com/store/apps/details?id=com.cinfin.mycincinnati;US;OH;{finance};The Cincinnati Insurance Companies strive to be Everything Insurance Should Be® by offering insurance solutions for businesses and individuals through local independent agents. With a wide range of products and services, you are sure to find answers to your insurance needs.;;Cincinnati;45250;4159
24183;cintas.com;21;164;2023-07-08;en;Cintas;cintascorp;cintas;;cintas;cintas;+1 877 692 3211;;;US;OH;{industry};Even at your busiest, you can open your doors with confidence knowing Cintas has you covered with a wide range of products and services that enhance your image and help keep your facility and employees clean, safe and looking their best.;6800 Cintas Boulevard;Ohio;45262;23729
416;cisco.com;913;6099;2023-06-27;en;Cisco;ciscosesg;cisco;cisco;cisco;ciscogetyourbuildon;+1 800 553 6387;;;;;{technology};Cisco delivers innovative software-defined networking, cloud, and security solutions to help transform your business, empowering an inclusive future for all.;;;;101160
